5000,1.0063886642456054e-06
10000,1.7006397247314453e-06
15000,1.2007474899291992e-06
20000,6.401777267456054e-07
25000,1.1028766632080078e-06
30000,1.393890380859375e-06
35000,8.986711502075195e-07
40000,1.0753393173217773e-06
45000,7.981300354003906e-07
50000,1.2089252471923828e-06
55000,1.4165639877319335e-06
60000,1.510453224182129e-06
65000,1.511859893798828e-06
70000,2.4205446243286132e-06
75000,2.440643310546875e-06
80000,2.8121232986450196e-06
85000,6.522727012634277e-06
90000,9.620809555053712e-06
95000,3.9704418182373046e-05
100000,0.01794228777885437
